,Mean,SD
AXp-6d,0.001969957395905342,0.000448887807180176
AXp-7d,0.0010690067246538204,0.0002861413697322683
Xp-0dv,4.050373070867419e-05,2.2897559517166642e-05
Xp-1dv,0.0002789484368260764,0.00013768297824179234
Xp-2dv,0.00030483347371121903,0.00016859581950752823
Xp-3dv,7.396252952007742e-06,3.8033393368560923e-05
Xp-4dv,2.2768161932218424e-05,1.908484699074632e-05
Xp-5dv,0.0001282755672039726,7.48337856426736e-05
Xp-6dv,0.00010127775607977618,2.7056493840830876e-05
Xp-7dv,3.1366233288721014e-05,1.554340508637389e-05
AXp-0dv,0.00018769989323479396,4.782112097376924e-05
AXp-1dv,0.0002882384832967877,0.00011372064680716691
AXp-2dv,0.00010967863694443248,7.691751104126139e-05
AXp-3dv,0.00031875096737180584,7.544188051681927e-05
AXp-4dv,3.923417657237804e-05,2.536781640777665e-05
AXp-5dv,0.0007986419544095402,0.0002314160532680817
AXp-6dv,0.0029267760859696067,0.0006690334262768163
AXp-7dv,0.00024074815009121896,8.527909999083811e-05
SZ,0.00024319595503794478,0.00010776480221679166
Sm,9.451173191077356e-06,1.4979001447736875e-05
Sv,1.0983692148880397e-05,5.405572455456943e-05
Sse,-3.430496117409199e-05,1.2633104740066114e-05
Spe,1.9359232229876343e-05,1.315119072628248e-05
Sare,2.6351781716948963e-05,2.418917462909563e-05
Sp,-7.109245708558643e-06,9.857487274653468e-06
Si,0.0001193595198213715,7.878662875566627e-05
MZ,5.892518236118027e-05,5.014919293898574e-05
Mm,-8.129152655766969e-06,7.473091556684183e-06
Mv,5.917585792813984e-06,4.887378333305264e-06
Mse,-6.870821005100502e-06,1.587553227274866e-05
Mpe,0.00012832796591298877,6.352141927308534e-05
Mare,0.0004405190604932385,0.00018529077786947682
Mp,0.00023455290670090223,0.00018667098658969235
Mi,9.353499188791137e-05,0.00012973954349622242
SpAbs_D,-1.4628236255698202e-05,1.9162503508477432e-05
SpMax_D,7.522991408398516e-05,3.514571128314109e-05
SpDiam_D,0.0002489899641790694,7.673836146605663e-05
SpAD_D,2.9381488615010108e-05,1.9545372190491368e-05
SpMAD_D,0.0028007229567609928,0.0004909544696467493
LogEE_D,2.9630206106245892e-06,4.498287544305447e-06
VE1_D,1.1946944621143984e-06,4.397163196545939e-05
VE2_D,0.0008189791253736534,6.639067441579096e-05
VE3_D,5.729262080564901e-05,1.2067242240072585e-05
VR1_D,0.00015642572332920103,6.629218330641135e-05
VR2_D,5.298301501032166e-05,3.1834893103433595e-05
VR3_D,5.87705312339315e-05,3.8209532177985984e-05
NsLi,0.0,0.0
NssBe,0.0,0.0
NssssBe,0.0,0.0
NssBH,0.0,0.0
NsssB,0.0,0.0
